Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Cluster
CUST0001,567,2,6150,1,1,3,5,3
CUST0002,430,3,1550,2,2,2,6,1
CUST0003,373,3,4890,3,2,3,8,2
CUST0004,315,5,6500,4,3,3,10,0
CUST0005,637,1,60,1,1,1,3,3
CUST0006,423,6,10400,2,4,4,10,0
CUST0007,382,3,1100,2,2,1,5,2
CUST0008,502,4,1370,1,3,2,6,1
CUST0009,402,1,200,2,1,1,4,2
CUST0010,322,6,10000,4,4,4,12,0
CUST0011,331,4,5750,4,3,3,10,2
CUST0012,440,5,3990,2,4,3,9,1
CUST0013,458,2,1000,1,1,1,3,1
CUST0014,331,1,300,4,1,1,6,2
CUST0015,481,2,7800,1,1,4,6,1
CUST0016,353,5,2900,3,4,2,9,2
CUST0017,332,1,250,4,1,1,6,2
CUST0018,351,3,910,3,2,1,6,2
CUST0019,372,4,3750,3,3,3,9,2
CUST0020,384,2,3500,2,1,2,5,2
CUST0021,321,2,320,4,1,1,6,2
CUST0022,358,5,5930,3,4,3,10,0
CUST0023,378,5,10450,3,4,4,11,0
CUST0024,341,3,2500,4,2,2,8,2
CUST0025,354,3,1500,3,2,2,7,2
CUST0026,356,2,4300,3,1,3,7,2
CUST0027,394,3,6850,2,2,4,8,2
CUST0028,372,7,4850,3,4,3,10,0
CUST0029,400,2,3300,2,1,2,5,2
CUST0030,499,2,4400,1,1,3,5,1
CUST0031,335,7,12800,4,4,4,12,0
CUST0032,319,4,7720,4,3,4,11,0
CUST0033,581,1,600,1,1,1,3,3
CUST0034,362,3,7700,3,2,4,9,2
CUST0035,424,2,270,2,1,1,4,1
CUST0036,469,4,3900,1,3,3,7,1
CUST0037,541,2,2600,1,1,2,4,3
CUST0038,331,5,3050,4,4,2,10,2
CUST0039,339,4,3500,4,3,2,9,2
CUST0040,469,2,450,1,1,1,3,1
CUST0041,408,2,6400,2,1,3,6,2
CUST0042,345,3,2650,3,2,2,7,2
CUST0043,385,3,520,2,2,1,5,2
CUST0044,382,9,4550,2,4,3,9,0
CUST0045,315,4,3730,4,3,3,10,2
CUST0046,333,5,7760,4,4,4,12,0
CUST0047,389,3,2300,2,2,2,6,2
CUST0048,417,3,1800,2,2,2,6,1
CUST0049,353,2,2700,3,1,2,6,2
CUST0050,481,2,1590,1,1,2,4,1
CUST0051,315,2,5300,4,1,3,8,2
CUST0052,428,9,5860,2,4,3,9,0
CUST0053,359,5,7550,3,4,4,11,0
CUST0054,403,3,950,2,2,1,5,2
CUST0055,354,5,2000,3,4,2,9,2
CUST0056,315,1,400,4,1,1,6,2
CUST0057,315,2,450,4,1,1,6,2
CUST0058,365,6,8500,3,4,4,11,0
CUST0059,451,4,6290,1,3,3,7,1
CUST0060,506,5,6900,1,4,4,9,1
CUST0061,385,2,1100,2,1,1,4,2
CUST0062,377,3,1700,3,2,2,7,2
CUST0063,373,4,9550,3,3,4,10,0
CUST0064,382,7,14600,2,4,4,10,0
CUST0065,348,5,6500,3,4,3,10,0
CUST0066,315,6,5390,4,4,3,11,0
CUST0067,371,1,6000,3,1,3,7,2
CUST0068,416,4,1280,2,3,1,6,2
CUST0069,342,4,7700,4,3,4,11,0
CUST0070,328,3,9200,4,2,4,10,0
CUST0071,339,6,3520,4,4,2,10,0
CUST0072,427,2,500,2,1,1,4,1
CUST0073,361,3,2300,3,2,2,7,2
CUST0074,443,1,400,2,1,1,4,1
CUST0075,455,2,750,1,1,1,3,1
CUST0076,337,4,1930,4,3,2,9,2
CUST0077,566,4,2170,1,3,2,6,1
CUST0078,323,4,5800,4,3,3,10,2
CUST0079,447,3,6500,1,2,3,6,1
CUST0080,413,3,5600,2,2,3,7,1
CUST0081,444,5,4200,2,4,3,9,1
CUST0082,345,3,4900,3,2,3,8,2
CUST0083,315,3,1900,4,2,2,8,2
CUST0085,354,3,5050,3,2,3,8,2
CUST0086,499,2,1600,1,1,2,4,1
CUST0087,474,4,4160,1,3,3,7,1
CUST0088,341,4,8300,4,3,4,11,0
CUST0089,421,2,990,2,1,1,4,1
CUST0090,519,1,6000,1,1,3,5,3
CUST0091,335,6,7970,4,4,4,12,0
CUST0092,373,2,2550,3,1,2,6,2
CUST0093,560,2,1800,1,1,2,4,3
CUST0094,327,2,1900,4,1,2,7,2
CUST0095,330,9,22440,4,4,4,12,0
CUST0096,615,2,7200,1,1,4,6,3
CUST0097,507,2,800,1,1,1,3,1
CUST0098,624,1,400,1,1,1,3,3
CUST0099,404,2,6200,2,1,3,6,2
CUST0100,579,1,100,1,1,1,3,3
CUST0101,345,4,5500,3,3,3,9,2
CUST0102,389,1,900,2,1,1,4,2
CUST0103,364,4,2110,3,3,2,8,2
CUST0104,391,3,600,2,2,1,5,2
CUST0105,318,6,5150,4,4,3,11,0
CUST0106,342,5,11150,4,4,4,12,0
CUST0107,376,3,6750,3,2,4,9,2
CUST0108,315,2,400,4,1,1,6,2
